,Season,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,Attendance,Venue,Referee,xG Diff,Actual Diff,League
1849,2021-2022,15.0,2021-11-26,21:00,Lens,Angers,2,2,1.3,1.5,35713.0,Stade Bollaert-Delelis,Florent Batta,-0.19999999999999996,0.0,Ligue1
1850,2021-2022,15.0,2021-11-27,17:00,Lille,Nantes,1,1,1.2,0.5,30419.0,Stade Pierre-Mauroy,Johan Hamel,0.7,0.0,Ligue1
1851,2021-2022,15.0,2021-11-27,21:00,Nice,Metz,0,1,1.2,0.4,17033.0,Stade de Nice,François Letexier,0.7999999999999999,-1.0,Ligue1
1852,2021-2022,15.0,2021-11-28,13:00,Saint-Étienne,Paris S-G,1,3,0.8,2.7,24586.0,Stade Geoffroy-Guichard,Jérôme Brisard,-1.9000000000000001,-2.0,Ligue1
1853,2021-2022,15.0,2021-11-28,15:00,Reims,Clermont Foot,1,0,0.6,0.5,8420.0,Stade Auguste-Delaune II,Benoît Bastien,0.09999999999999998,1.0,Ligue1
1854,2021-2022,15.0,2021-11-28,15:00,Lorient,Rennes,0,2,0.8,1.3,16321.0,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,-0.5,-2.0,Ligue1
1855,2021-2022,15.0,2021-11-28,15:00,Bordeaux,Brest,1,2,1.4,2.4,15280.0,Stade Matmut-Atlantique,Pierre Gaillouste,-1.0,-1.0,Ligue1
1856,2021-2022,15.0,2021-11-28,15:00,Monaco,Strasbourg,1,1,2.1,1.0,3478.0,Stade Louis II.,Antony Gautier,1.1,0.0,Ligue1
1857,2021-2022,15.0,2021-11-28,17:00,Montpellier,Lyon,0,1,1.2,0.9,14747.0,Stade de la Mosson,Thomas Léonard,0.29999999999999993,-1.0,Ligue1
1858,2021-2022,15.0,2021-11-28,20:45,Marseille,Troyes,1,0,1.6,0.1,,Orange Vélodrome,Jérémie Pignard,1.5,1.0,Ligue1
1860,2021-2022,16.0,2021-12-01,19:00,Angers,Monaco,1,3,1.3,3.1,8267.0,Stade Raymond Kopa,Romain Lissorgue,-1.8,-2.0,Ligue1
1861,2021-2022,16.0,2021-12-01,19:00,Troyes,Lorient,2,0,1.0,0.4,6506.0,Stade de l'Aube,Jeremy Stinat,0.6,2.0,Ligue1
1862,2021-2022,16.0,2021-12-01,19:00,Strasbourg,Bordeaux,5,2,2.8,1.1,24378.0,Stade de la Meinau,Willy Delajod,1.6999999999999997,3.0,Ligue1
1863,2021-2022,16.0,2021-12-01,19:00,Brest,Saint-Étienne,1,0,1.5,0.6,13248.0,Stade Francis-Le Blé,Mikael Lesage,0.9,1.0,Ligue1
1864,2021-2022,16.0,2021-12-01,19:00,Metz,Montpellier,1,3,1.3,1.3,13992.0,Stade Saint-Symphorien,Ruddy Buquet,0.0,-2.0,Ligue1
1865,2021-2022,16.0,2021-12-01,21:00,Rennes,Lille,1,2,0.8,0.7,25392.0,Roazhon Park,Stéphanie Frappart,0.10000000000000009,-1.0,Ligue1
1866,2021-2022,16.0,2021-12-01,21:00,Nantes,Marseille,0,1,0.1,1.1,34018.0,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,-1.0,-1.0,Ligue1
1867,2021-2022,16.0,2021-12-01,21:00,Paris S-G,Nice,0,0,1.9,1.0,47502.0,Parc des Princes,Clément Turpin,0.8999999999999999,0.0,Ligue1
1868,2021-2022,16.0,2021-12-01,21:00,Lyon,Reims,1,2,2.6,1.2,,Groupama Stadium,Benoît Millot,1.4000000000000001,-1.0,Ligue1
1869,2021-2022,16.0,2021-12-01,21:00,Clermont Foot,Lens,2,2,1.7,0.7,11948.0,Stade Gabriel Montpied,Amaury Delerue,1.0,0.0,Ligue1
1871,2021-2022,17.0,2021-12-04,17:00,Marseille,Brest,1,2,1.5,1.3,54413.0,Orange Vélodrome,Antony Gautier,0.19999999999999996,-1.0,Ligue1
