,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
151,14.0,Sun,2019-11-24,21:00,Toulouse,0.9,0–2,1.6,Marseille,23002.0,Stadium Municipal,François Letexier,Match Report,
152,,,,,,,,,,,,,,
153,15.0,Fri,2019-11-29,20:45,Marseille,5.0,2–1,0.7,Brest,50014.0,Orange Vélodrome,Johan Hamel,Match Report,
154,15.0,Sat,2019-11-30,17:30,Strasbourg,0.5,1–2,0.7,Lyon,25455.0,Stade de la Meinau,Mikael Lesage,Match Report,
155,15.0,Sat,2019-11-30,20:00,Nice,1.2,3–1,0.6,Angers,15814.0,Stade de Nice,Antony Gautier,Match Report,
156,15.0,Sat,2019-11-30,20:00,Montpellier,1.5,4–2,1.0,Amiens,11744.0,Stade de la Mosson,Jérémie Pignard,Match Report,
157,15.0,Sat,2019-11-30,20:00,Lille,1.7,1–0,0.8,Dijon,40074.0,Stade Pierre-Mauroy,Jeremy Stinat,Match Report,
158,15.0,Sat,2019-11-30,20:00,Nîmes,0.7,1–1,0.8,Metz,12180.0,Stade des Costières,Hakim Ben El Hadj Salem,Match Report,
159,15.0,Sat,2019-11-30,20:00,Reims,1.4,1–1,0.3,Bordeaux,12949.0,Stade Auguste-Delaune II,Jérôme Brisard,Match Report,
160,15.0,Sun,2019-12-01,15:00,Nantes,2.8,2–1,1.1,Toulouse,13751.0,Stade de la Beaujoire - Louis Fonteneau,Florent Batta,Match Report,
161,15.0,Sun,2019-12-01,17:00,Rennes,1.4,2–1,0.5,Saint-Étienne,26738.0,Roazhon Park,Eric Wattellier,Match Report,
162,,,,,,,,,,,,,,
163,16.0,Tue,2019-12-03,19:00,Brest,2.0,5–0,0.8,Strasbourg,12437.0,Stade Francis-Le Blé,Jérôme Brisard,Match Report,
164,16.0,Tue,2019-12-03,19:00,Angers,0.7,0–2,1.8,Marseille,12455.0,Stade Raymond Kopa,Franck Schneider,Match Report,
165,16.0,Tue,2019-12-03,19:00,Bordeaux,2.1,6–0,0.3,Nîmes,12419.0,Stade Matmut-Atlantique,Clément Turpin,Match Report,
166,16.0,Tue,2019-12-03,21:05,Lyon,0.8,0–1,0.9,Lille,42535.0,Groupama Stadium,Ruddy Buquet,Match Report,
167,16.0,Wed,2019-12-04,19:00,Saint-Étienne,2.7,4–1,1.2,Nice,20138.0,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
168,16.0,Wed,2019-12-04,19:00,Dijon,1.5,2–2,1.1,Montpellier,11926.0,Stade Gaston Gérard,François Letexier,Match Report,
169,16.0,Wed,2019-12-04,19:00,Metz,0.9,0–1,1.1,Rennes,14214.0,Stade Saint-Symphorien,Karim Abed,Match Report,
170,16.0,Wed,2019-12-04,19:00,Toulouse,1.8,1–2,4.3,Monaco,13030.0,Stadium Municipal,Willy Delajod,Match Report,
