,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),League
71,2020-2021,15,Reims,84,24.0,42.2,38,11,13,14,43,44,-1,46,1.21,37.7,46.4,-8.7,-0.23,11071.0,"10,843,344",Ligue1
72,2020-2021,12,Montpellier,75,25.8,48.2,38,12,7,19,49,61,-12,43,1.13,42.7,57.1,-14.4,-0.38,10711.0,"12,555,455",Ligue1
73,2020-2021,13,Angers,81,27.4,48.4,38,10,11,17,44,55,-11,41,1.08,46.5,50.0,-3.6,-0.09,7758.0,"12,382,204",Ligue1
74,2020-2021,14,Troyes,105,27.1,44.4,38,9,11,18,37,53,-16,38,1.0,39.2,50.8,-11.5,-0.3,9491.0,"10,935,068",Ligue1
75,2020-2021,19,Lorient,85,26.2,44.4,38,8,12,18,35,63,-28,36,0.95,41.3,50.5,-9.2,-0.24,12738.0,"9,182,194",Ligue1
76,2020-2021,20,Clermont Foot,89,26.9,50.0,38,9,9,20,38,69,-31,36,0.95,44.4,52.4,-8.0,-0.21,10569.0,"4,912,120",Ligue1
77,2020-2021,9,Saint-Étienne,91,25.1,48.5,38,7,11,20,42,77,-35,32,0.84,38.3,58.2,-19.9,-0.52,21806.0,"20,718,543",Ligue1
78,2020-2021,17,Metz,93,25.9,42.9,38,6,13,19,35,69,-34,31,0.82,29.2,62.5,-33.4,-0.88,14876.0,"10,445,894",Ligue1
79,2020-2021,7,Bordeaux,93,25.7,47.4,38,6,13,19,52,91,-39,31,0.82,44.9,66.8,-21.9,-0.58,22141.0,"28,198,819",Ligue1
80,2021-2022,1,Paris S-G,32,27.5,60.3,30,22,3,5,70,29,41,69,2.3,62.0,35.5,26.5,0.88,40067.0,"372,233,147",Ligue1
81,2021-2022,13,Lens,25,27.0,56.5,30,18,9,3,50,22,28,63,2.1,52.4,32.3,20.1,0.67,37577.0,"7,024,357",Ligue1
82,2021-2022,2,Marseille,28,27.9,55.6,30,18,7,5,54,29,25,61,2.03,49.8,36.6,13.2,0.44,62532.0,"49,776,705",Ligue1
83,2021-2022,3,Monaco,28,25.4,49.1,30,17,7,6,63,42,21,58,1.93,50.2,40.0,10.1,0.34,6931.0,"44,263,068",Ligue1
84,2021-2022,6,Lille,25,26.7,59.6,30,15,7,8,54,38,16,52,1.73,54.9,33.4,21.5,0.72,33048.0,"16,868,075",Ligue1
85,2021-2022,7,Rennes,28,25.9,54.7,30,15,5,10,48,33,15,50,1.67,45.7,37.7,8.0,0.27,25734.0,"15,607,541",Ligue1
86,2021-2022,4,Lyon,27,26.3,58.0,30,13,8,9,47,33,14,47,1.57,46.1,38.4,7.7,0.26,40814.0,"37,392,668",Ligue1
87,2021-2022,10,Reims,27,25.6,47.1,30,11,14,5,40,29,11,47,1.57,51.2,38.3,13.0,0.43,10805.0,"8,737,143",Ligue1
88,2021-2022,5,Nice,27,27.4,51.2,30,11,12,7,38,28,10,45,1.5,41.9,33.5,8.4,0.28,18650.0,"28,530,433",Ligue1
89,2021-2022,16,Lorient,25,25.9,45.3,30,12,9,9,42,40,2,45,1.5,35.5,46.0,-10.5,-0.35,13515.0,"5,186,477",Ligue1
90,2021-2022,19,Clermont Foot,26,27.8,48.8,30,11,7,12,31,41,-10,40,1.33,34.4,48.3,-13.9,-0.46,10428.0,"2,395,978",Ligue1
91,2021-2022,15,Toulouse,26,25.9,51.0,30,11,5,14,46,52,-6,38,1.27,42.3,46.4,-4.1,-0.14,22932.0,"5,475,148",Ligue1
92,2021-2022,11,Montpellier,27,26.6,46.8,30,11,4,15,46,50,-4,37,1.23,39.2,48.5,-9.3,-0.31,11710.0,"8,486,961",Ligue1
93,2021-2022,8,Nantes,27,27.5,46.0,30,6,13,11,32,42,-10,31,1.03,34.3,39.7,-5.4,-0.18,26216.0,"13,404,013",Ligue1
94,2021-2022,18,Auxerre,33,28.2,44.1,30,7,8,15,27,51,-24,29,0.97,31.5,44.1,-12.6,-0.42,14090.0,"4,012,543",Ligue1
95,2021-2022,14,Brest,25,27.3,43.9,30,6,10,14,34,48,-14,28,0.93,33.8,48.9,-15.0,-0.5,11239.0,"6,273,807",Ligue1
96,2021-2022,9,Strasbourg,26,28.3,46.7,30,5,11,14,38,52,-14,26,0.87,36.8,49.5,-12.7,-0.42,23553.0,"11,238,970",Ligue1
97,2021-2022,17,Troyes,28,26.7,43.8,30,4,9,17,38,64,-26,21,0.7,33.8,57.2,-23.4,-0.78,8344.0,"4,859,314",Ligue1
98,2021-2022,20,Ajaccio,31,30.0,45.3,30,6,3,21,21,55,-34,21,0.7,33.7,41.0,-7.2,-0.24,6422.0,"2,309,378",Ligue1
99,2021-2022,12,Angers,34,26.6,46.6,30,3,5,22,23,64,-41,14,0.47,33.8,48.2,-14.4,-0.48,8456.0,"7,640,191",Ligue1
