,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
111,Regular season,11.0,Sat,2018-10-27,17:00,Angers,1.3,1–2,1.7,Lyon,14186.0,Stade Raymond Kopa,Ruddy Buquet,Match Report,
112,Regular season,11.0,Sat,2018-10-27,20:00,Toulouse,1.2,0–3,1.5,Montpellier,14100.0,Stadium Municipal,Karim Abed,Match Report,
113,Regular season,11.0,Sat,2018-10-27,20:00,Monaco,1.0,2–2,0.6,Dijon,7139.0,Stade Louis II.,Jérôme Miguelgorry,Match Report,
114,Regular season,11.0,Sat,2018-10-27,20:00,Amiens,1.2,1–2,1.6,Nantes,11384.0,Stade de la Licorne,Jeremy Stinat,Match Report,
115,Regular season,11.0,Sat,2018-10-27,20:00,Guingamp,1.2,1–1,1.5,Strasbourg,13643.0,Stade du Roudourou,Willy Delajod,Match Report,
116,Regular season,11.0,Sat,2018-10-27,20:00,Lille,0.6,1–0,0.4,Caen,33362.0,Stade Pierre-Mauroy,Florent Batta,Match Report,
117,Regular season,11.0,Sun,2018-10-28,15:00,Rennes,0.6,0–2,0.3,Reims,22710.0,Roazhon Park,Benoît Millot,Match Report,
118,Regular season,11.0,Sun,2018-10-28,17:00,Bordeaux,2.0,0–1,1.1,Nice,20730.0,Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
119,Regular season,11.0,Sun,2018-10-28,21:00,Marseille,0.6,0–2,1.5,Paris S-G,64696.0,Orange Vélodrome,Benoît Bastien,Match Report,
120,,,,,,,,,,,,,,,
121,Regular season,12.0,Fri,2018-11-02,20:45,Paris S-G,1.9,2–1,1.0,Lille,47549.0,Parc des Princes,François Letexier,Match Report,
122,Regular season,12.0,Sat,2018-11-03,17:00,Lyon,0.3,1–1,1.4,Bordeaux,46653.0,Groupama Stadium,Benoît Millot,Match Report,
123,Regular season,12.0,Sat,2018-11-03,20:00,Dijon,1.8,0–4,2.2,Nîmes,12113.0,Stade Gaston Gérard,Franck Schneider,Match Report,
124,Regular season,12.0,Sat,2018-11-03,20:00,Nice,1.2,1–0,0.8,Amiens,15259.0,Stade de Nice,Johan Hamel,Match Report,
125,Regular season,12.0,Sat,2018-11-03,20:00,Caen,1.7,1–2,2.5,Rennes,17284.0,Stade Michel d'Ornano,Amaury Delerue,Match Report,
126,Regular season,12.0,Sat,2018-11-03,20:00,Reims,1.1,1–0,1.0,Monaco,16005.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
127,Regular season,12.0,Sat,2018-11-03,20:00,Strasbourg,1.0,1–1,1.0,Toulouse,25034.0,Stade de la Meinau,Jérôme Miguelgorry,Match Report,
128,Regular season,12.0,Sun,2018-11-04,15:00,Nantes,2.5,5–0,0.2,Guingamp,25753.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
129,Regular season,12.0,Sun,2018-11-04,17:00,Saint-Étienne,2.1,4–3,1.8,Angers,22983.0,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
130,Regular season,12.0,Sun,2018-11-04,21:00,Montpellier,1.2,3–0,1.3,Marseille,19683.0,Stade de la Mosson,Antony Gautier,Match Report,
131,,,,,,,,,,,,,,,
132,Regular season,13.0,Fri,2018-11-09,20:45,Lille,1.4,0–0,0.2,Strasbourg,27544.0,Stade Pierre-Mauroy,Olivier Thual,Match Report,
133,Regular season,13.0,Sat,2018-11-10,17:00,Guingamp,1.5,2–4,1.4,Lyon,14171.0,Stade du Roudourou,Mikael Lesage,Match Report,
134,Regular season,13.0,Sat,2018-11-10,20:00,Toulouse,1.7,0–1,0.5,Amiens,13553.0,Stadium Municipal,Eric Wattellier,Match Report,
135,Regular season,13.0,Sat,2018-11-10,20:00,Saint-Étienne,0.9,2–0,0.7,Reims,22838.0,Stade Geoffroy-Guichard,Florent Batta,Match Report,
136,Regular season,13.0,Sat,2018-11-10,20:00,Nîmes,1.1,0–1,1.3,Nice,14290.0,Stade des Costières,Benoît Bastien,Match Report,
137,Regular season,13.0,Sat,2018-11-10,20:00,Angers,0.8,1–0,0.4,Montpellier,8342.0,Stade Raymond Kopa,Jeremy Stinat,Match Report,
138,Regular season,13.0,Sun,2018-11-11,15:00,Bordeaux,1.5,0–0,0.5,Caen,15352.0,Stade Matmut-Atlantique,Nicolas Rainville,Match Report,
139,Regular season,13.0,Sun,2018-11-11,17:00,Rennes,1.8,1–1,0.3,Nantes,23270.0,Roazhon Park,Karim Abed,Match Report,
140,Regular season,13.0,Sun,2018-11-11,17:00,Marseille,3.2,2–0,0.4,Dijon,47430.0,Orange Vélodrome,Willy Delajod,Match Report,
141,Regular season,13.0,Sun,2018-11-11,21:00,Monaco,1.4,0–4,3.6,Paris S-G,12533.0,Stade Louis II.,Ruddy Buquet,Match Report,
142,,,,,,,,,,,,,,,
143,Regular season,14.0,Fri,2018-11-23,21:00,Lyon,0.9,1–0,1.5,Saint-Étienne,55701.0,Groupama Stadium,Antony Gautier,Match Report,
144,Regular season,14.0,Sat,2018-11-24,17:00,Paris S-G,1.2,1–0,0.6,Toulouse,47244.0,Parc des Princes,Hakim Ben El Hadj Salem,Match Report,
145,Regular season,14.0,Sat,2018-11-24,20:00,Nantes,1.7,1–1,0.8,Angers,23682.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
146,Regular season,14.0,Sat,2018-11-24,20:00,Dijon,0.9,0–0,0.4,Bordeaux,12285.0,Stade Gaston Gérard,François Letexier,Match Report,
147,Regular season,14.0,Sat,2018-11-24,20:00,Caen,0.8,0–1,0.8,Monaco,15013.0,Stade Michel d'Ornano,Thomas Léonard,Match Report,
148,Regular season,14.0,Sat,2018-11-24,20:00,Strasbourg,0.9,0–1,1.0,Nîmes,25128.0,Stade de la Meinau,Benoît Millot,Match Report,
149,Regular season,14.0,Sat,2018-11-24,20:00,Reims,0.9,2–1,1.4,Guingamp,10028.0,Stade Auguste-Delaune II,Johan Hamel,Match Report,
150,Regular season,14.0,Sun,2018-11-25,15:00,Montpellier,2.5,2–2,1.5,Rennes,10761.0,Stade de la Mosson,Jérôme Brisard,Match Report,
151,Regular season,14.0,Sun,2018-11-25,17:00,Nice,1.1,2–0,0.4,Lille,18211.0,Stade de Nice,Franck Schneider,Match Report,
152,Regular season,14.0,Sun,2018-11-25,21:00,Amiens,1.1,1–3,2.1,Marseille,11932.0,Stade de la Licorne,Jérôme Miguelgorry,Match Report,
153,,,,,,,,,,,,,,,
154,Regular season,15.0,Fri,2018-11-30,20:45,Saint-Étienne,2.4,3–0,0.3,Nantes,21884.0,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
155,Regular season,15.0,Sat,2018-12-01,17:00,Lille,1.0,2–2,2.9,Lyon,38755.0,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
156,Regular season,15.0,Sat,2018-12-01,20:00,Angers,1.4,1–1,0.9,Caen,8523.0,Stade Raymond Kopa,Willy Delajod,Match Report,
157,Regular season,15.0,Sat,2018-12-01,20:00,Nîmes,1.8,3–0,0.9,Amiens,12159.0,Stade des Costières,Karim Abed,Match Report,
158,Regular season,15.0,Sat,2018-12-01,20:00,Monaco,0.7,1–2,1.6,Montpellier,6725.0,Stade Louis II.,Olivier Thual,Match Report,
159,Regular season,15.0,Sat,2018-12-01,20:00,Guingamp,0.9,0–0,0.6,Nice,12671.0,Stade du Roudourou,Ruddy Buquet,Match Report,
160,Regular season,15.0,Sun,2018-12-02,15:00,Toulouse,0.8,2–2,1.8,Dijon,10279.0,Stadium Municipal,Jérôme Miguelgorry,Match Report,
161,Regular season,15.0,Sun,2018-12-02,17:00,Rennes,0.7,1–4,3.2,Strasbourg,19867.0,Roazhon Park,Eric Wattellier,Match Report,
162,Regular season,15.0,Sun,2018-12-02,17:00,Marseille,0.8,0–0,0.7,Reims,41932.0,Orange Vélodrome,Nicolas Rainville,Match Report,
163,Regular season,15.0,Sun,2018-12-02,21:00,Bordeaux,0.9,2–2,1.4,Paris S-G,40841.0,Stade Matmut-Atlantique,Franck Schneider,Match Report,
164,,,,,,,,,,,,,,,
165,Regular season,16.0,Tue,2018-12-04,19:00,Amiens,0.6,0–2,1.8,Monaco,11048.0,Stade de la Licorne,Jérôme Brisard,Match Report,
166,Regular season,16.0,Tue,2018-12-04,19:00,Nice,2.6,0–0,0.3,Angers,14123.0,Stade de Nice,Hakim Ben El Hadj Salem,Match Report,
167,Regular season,16.0,Tue,2018-12-04,21:00,Montpellier,1.3,0–1,1.6,Lille,12486.0,Stade de la Mosson,Mikael Lesage,Match Report,
168,Regular season,16.0,Wed,2018-12-05,19:00,Dijon,0.4,2–1,1.3,Guingamp,11711.0,Stade Gaston Gérard,Thomas Léonard,Match Report,
169,Regular season,16.0,Wed,2018-12-05,19:00,Reims,1.6,0–1,1.1,Toulouse,10609.0,Stade Auguste-Delaune II,Jeremy Stinat,Match Report,
170,Regular season,16.0,Wed,2018-12-05,19:00,Bordeaux,2.1,3–2,2.0,Saint-Étienne,23375.0,Stade Matmut-Atlantique,Clément Turpin,Match Report,
171,Regular season,16.0,Wed,2018-12-05,19:00,Lyon,1.4,0–2,1.4,Rennes,47278.0,Groupama Stadium,Johan Hamel,Match Report,
172,Regular season,16.0,Wed,2018-12-05,19:00,Caen,1.0,1–2,3.0,Nîmes,14501.0,Stade Michel d'Ornano,Florent Batta,Match Report,
173,Regular season,16.0,Wed,2018-12-05,19:00,Nantes,1.4,3–2,1.3,Marseille,32663.0,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Match Report,
174,Regular season,16.0,Wed,2018-12-05,21:00,Strasbourg,1.0,1–1,2.3,Paris S-G,25702.0,Stade de la Meinau,Antony Gautier,Match Report,
175,,,,,,,,,,,,,,,
176,Regular season,17.0,Sat,2018-12-08,20:00,Rennes,2.6,2–0,0.5,Dijon,16975.0,Roazhon Park,Nicolas Rainville,Match Report,
177,Regular season,17.0,Sat,2018-12-08,20:00,Guingamp,1.4,1–2,1.6,Amiens,14089.0,Stade du Roudourou,Benoît Bastien,Match Report,
178,Regular season,17.0,Sun,2018-12-09,15:00,Strasbourg,1.1,2–2,0.5,Caen,25048.0,Stade de la Meinau,Olivier Thual,Match Report,
179,Regular season,17.0,Sun,2018-12-09,17:00,Lille,1.5,1–1,1.3,Reims,26826.0,Stade Pierre-Mauroy,Willy Delajod,Match Report,
180,,,,,,,,,,,,,,,
181,Regular season,18.0,Sat,2018-12-15,20:00,Reims,0.6,2–1,0.4,Strasbourg,12171.0,Stade Auguste-Delaune II,Florent Batta,Match Report,
182,Regular season,18.0,Sun,2018-12-16,15:00,Nîmes,1.0,2–3,0.6,Lille,13428.0,Stade des Costières,Hakim Ben El Hadj Salem,Match Report,
183,Regular season,18.0,Sun,2018-12-16,17:00,Nice,2.4,1–1,1.1,Saint-Étienne,19250.0,Stade de Nice,Thomas Léonard,Match Report,
184,Regular season,18.0,Sun,2018-12-16,21:00,Lyon,2.0,3–0,0.1,Monaco,46477.0,Groupama Stadium,Clément Turpin,Match Report,
