,Season,Rank,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,League
121,2020-2021,GR,Olympiacos,6.0,1.0,0.0,5.0,2.0,10.0,-8.0,3.0,4.1,9.5,-5.4,-0.9,,"Koka, Mohamed Camara - 1",José Sá,UEFA
122,2020-2021,GR,Başakşehir,6.0,1.0,0.0,5.0,7.0,18.0,-11.0,3.0,5.2,12.2,-7.0,-1.16,233.0,İrfan Kahveci - 3,Mert Günok,UEFA
123,2020-2021,GR,Marseille,6.0,1.0,0.0,5.0,2.0,13.0,-11.0,3.0,5.9,10.1,-4.3,-0.71,,Dimitri Payet - 2,Steve Mandanda,UEFA
124,2020-2021,GR,Midtjylland,6.0,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,7.1,11.3,-4.2,-0.71,88.0,Alexander Scholz - 2,Jesper Hansen,UEFA
125,2020-2021,GR,Rennes,6.0,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,7.6,12.4,-4.8,-0.8,1658.0,Sehrou Guirassy - 2,Alfred Gomis,UEFA
126,2020-2021,GR,Zenit,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,5.6,11.3,-5.7,-0.95,14990.0,"Artem Dzyuba, Aleksandr Erokhin... - 1",Mikhail Kerzhakov,UEFA
127,2020-2021,GR,Ferencváros,6.0,0.0,1.0,5.0,5.0,17.0,-12.0,1.0,5.6,12.7,-7.1,-1.19,8234.0,Franck Boli - 2,Dénes Dibusz,UEFA
128,2021-2022,1,Real Madrid,13.0,9.0,0.0,4.0,29.0,14.0,15.0,27.0,21.7,20.8,0.8,0.06,48111.0,Karim Benzema - 15,Thibaut Courtois,UEFA
129,2021-2022,2,Liverpool,13.0,10.0,1.0,2.0,30.0,14.0,16.0,31.0,27.3,13.1,14.2,1.09,64118.0,Mohamed Salah - 8,Alisson,UEFA
130,2021-2022,SF,Manchester City,12.0,7.0,2.0,3.0,29.0,16.0,13.0,23.0,26.6,11.5,15.1,1.26,49295.0,Riyad Mahrez - 7,Ederson,UEFA
131,2021-2022,SF,Villarreal,12.0,5.0,3.0,4.0,20.0,16.0,4.0,18.0,19.4,18.6,0.9,0.07,18610.0,Arnaut Danjuma - 6,Gerónimo Rulli,UEFA
132,2021-2022,QF,Bayern Munich,10.0,7.0,2.0,1.0,31.0,7.0,24.0,23.0,26.3,7.7,18.6,1.86,34000.0,Robert Lewandowski - 13,Manuel Neuer,UEFA
